Number of saccades,Saccade velocity,Peak saccade velocity,Mean velocity,Median velocity,Standard deviation of velocity,Peak amplitude,Saccades per minute,condition,participant
8103,"[230.63237477  37.51768618 227.83173379 ... 339.74500185 223.66608908
 184.40103517]",252473.33165931853,953.9904021427243,323.6928615719441,3130.185772262165,2019.8328903869176,810.3013472609852,P,1
7475,"[ 152.71059315  440.60391554  254.42777822 ... 5354.36384371  681.2857179
  269.2777168 ]",40546.502557660584,992.8843020733118,358.045700670223,2469.861168997591,2065.895272711513,747.5344491283872,C,2
4900,"[4366.80259613  239.69169079  525.2263559  ...  217.9386445   115.75496306
  147.87526752]",100168.83818975139,931.8456106433199,170.47966846227882,3068.38590860853,1634.7329240006868,490.0207504186855,P,3
9773,"[ 121.21664903   54.37472136   49.50516378 ... 4384.39602147 4753.4175527
 1490.89393593]",46697.76689931053,1125.3880265597436,429.0611181318758,2586.2936065242397,1735.5588041823928,993.3553668729147,C,4
5115,"[ 62.03212233 102.45906835 127.34810967 ... 399.62051552  15.40215838
 120.42699062]",44677.972484169026,818.8562545841561,188.60929507198784,2710.06108290109,1909.1873285272288,511.52348105909385,P,5
8021,"[ 79.69319432 167.83525744  68.72422732 ... 363.62014703 655.41251182
 428.02981978]",43345.1018273354,983.4909402181366,321.8215905281525,2563.499079966198,2150.8137009929,802.2616551887181,C,6
4493,"[ 196.28916042  653.60367071  126.72340875 ... 1254.71890476  565.49818039
  651.29050743]",61854.17373426342,720.2696220319508,158.9626267379801,2401.9969173818317,2623.043730137726,449.3000063650684,P,7
5352,"[ 72.46546124 101.02968818 172.9646985  ... 196.45415848  50.8388654
  37.2050304 ]",213098.62048552113,1007.2457210443362,193.86036855979611,3617.632074350537,1769.7549651095787,535.2261288475745,C,8
5106,"[103.86750066 140.19519225 129.79351516 ... 128.36399874 116.62842435
 195.97452825]",274077.4572980148,1015.1234376306529,197.30830237819396,4063.3971430360093,1793.688803863081,510.6242800143047,P,9
5506,"[1702.69087099  137.66067442 1174.48870917 ...  403.85628386  262.46443744
  192.78169334]",63524.76823652642,950.7518219117685,202.55095467480518,2987.9303437785284,1892.3964935982663,550.6265944385613,C,10
4627,"[  69.05798984   41.99460518   38.14698139 ... 1007.40211169  513.56146067
  113.8449051 ]",730472.0530737932,958.8086341206149,147.5893010129959,6022.972270032629,1555.9889421221014,462.7223583587693,P,11
6444,"[2016.393201     74.44787492  207.99090149 ...  384.07001358   77.87938257
  196.12952905]",271294.62093314494,989.4660406174426,257.2156587708468,3704.6571691659806,1971.778576914463,644.4313250548229,C,12
7962,"[  20.73251088  111.8666191   264.0194276  ... 1096.90958891  164.80762021
  430.36768043]",153499.7323689641,1057.9737100597913,305.14140072452426,3108.395413548945,2639.7306366340486,796.2012820168135,P,13
5146,"[116.88567865 208.33091056 209.16894169 ... 181.43901127 132.82937533
 166.45343476]",1082824.4904279583,1036.5392626917933,194.8471027188334,11762.049514257058,2328.82564920913,514.625404311542,C,14
5624,"[201.65103787  86.77586733  70.6961502  ... 126.05500963 332.44488255
 604.97336877]",44155.84385003238,822.2608411105277,217.59393569588906,2449.9817064166496,2296.268809962734,562.4268965665234,P,15
5968,"[144.81953706 143.32264971 422.70240464 ... 319.69313104  92.73220671
 176.0841469 ]",42687.118508174826,787.431465873996,227.31944954031576,2383.460602421341,2001.4002394129218,596.8011192010324,C,16
4829,"[330.12860869 704.37696142 133.4150309  ...  91.10284615 367.15552263
 525.65950269]",1183839.3771659757,965.4396180695966,174.41139503474525,9041.481172555854,1426.743179842034,482.92301941107564,P,17
5967,"[199.14642004 329.42590016  95.74070993 ... 255.02802894 117.68991004
 215.71913464]",546099.5891376638,1018.6519702427553,210.56811121544982,5602.761057405882,2245.698421769597,596.7250058608248,C,18
4786,"[4509.55868275  190.93711302   43.82693415 ...   59.95181251  252.82559643
   29.29218891]",48076.89863886168,818.0113225964378,175.02728658409194,2632.091131772984,1536.8014236732424,478.6240810133884,P,19
7859,"[ 560.68706177 1148.39616014  615.71473808 ...   75.46481517  337.21542571
  116.49685512]",91504.75447646348,1120.4985729110035,309.88684657043746,2982.8468845435195,1388.3208437454282,785.9379376172187,C,20
5402,"[ 3093.19094601 11947.08314405  2753.79271485 ...    57.94259171
  3213.62233782  1792.32449734]",1204350.1081015794,1031.2858203209885,178.20655978213642,9239.125863586569,1976.3764703043944,540.2262832692014,P,21
8249,"[21316.53060783  4610.95475381  2404.91262936 ...   572.26019733
   781.50026174   473.46879528]",43040.36339150018,1027.9601416597045,352.2370983562303,2747.3083777118036,1557.633968151779,824.9414124713699,C,22
